,RW,VH,RHS,RH
bfs_T,,,,
obtea_T,,,,
opt_h0_T,,,,
opt_h0_llm_T,,,,
hbtp_T,,,,
bfs_F,0.338,0.712,0.682,0.496
obtea_F,0.342,0.704,0.668,0.62
opt_h0_F,0.326,0.684,0.688,0.648
opt_h0_llm_F,0.346,0.684,0.718,0.642
hbtp_F,0.35,0.648,0.666,0.592
