,RW,VH,RHS,RH
bfs_T,,,,
obtea_T,,,,
opt_h0_T,,,,
hbtp_T,,,,
opt_h0_llm_T,,,,
bfs_F,0.808,0.74,0.778,0.55
obtea_F,0.82,0.814,0.72,0.622
opt_h0_F,0.77,0.76,0.744,0.686
hbtp_F,0.818,0.722,0.716,0.642
opt_h0_llm_F,0.826,0.768,0.802,0.694
