,RW,VH,RHS,RH
bfs_T,,,,
obtea_T,,,,
opt_h0_T,,,,
hbtp_T,,,,
opt_h0_llm_T,,,,
bfs_F,0.004,0.322,0.37,0.176
obtea_F,0.014,0.412,0.486,0.176
opt_h0_F,0.002,0.374,0.384,0.286
hbtp_F,0.016,0.374,0.324,0.216
opt_h0_llm_F,0.002,0.35,0.384,0.188
