,RW,VH,RHS,RH
bfs_T,,,,
obtea_T,,,,
opt_h0_T,,,,
hbtp_T,,,,
opt_h0_llm_T,,,,
bfs_F,0.012,0.4,0.458,0.164
obtea_F,0.01,0.564,0.596,0.19
opt_h0_F,0.004,0.464,0.466,0.35
hbtp_F,0.008,0.528,0.464,0.33
opt_h0_llm_F,0.012,0.478,0.522,0.232
