,RW,VH,RHS,RH
opt_h0_T,,,,
opt_h0_llm_T,,,,
obtea_T,,,,
bfs_T,,,,
opt_h0_F,0.03,0.23,0.23,0.13
opt_h0_llm_F,0.06,0.25,0.27,0.1
obtea_F,0.08,0.33,0.36,0.07
bfs_F,0.09,0.17,0.2,0.07
