,RW,VH,RHS,RH
opt_h0_T,,,,
opt_h0_llm_T,,,,
obtea_T,,,,
bfs_T,,,,
opt_h0_F,0.8,0.79,0.75,0.72
opt_h0_llm_F,0.78,0.79,0.77,0.67
obtea_F,0.81,0.82,0.74,0.6
bfs_F,0.84,0.77,0.8,0.48
