,RW,VH,RHS,RH
opt_h0_T,,,,
opt_h0_llm_T,,,,
obtea_T,,,,
bfs_T,,,,
opt_h0_F,0.318,0.696,0.678,0.632
opt_h0_llm_F,0.326,0.7,0.74,0.61
obtea_F,0.322,0.758,0.708,0.628
bfs_F,0.364,0.722,0.73,0.554
